Gene.name	Mouse.gene.name	Chicken.gene.name
MIR10A	Mir10a	gga-mir-10a
ENTPD1	Entpd1	ENTPD1
MIR21	Mir21a	gga-mir-21
MIR142	Mir142	gga-mir-142
AARSD1	Aarsd1	AARSD1
FUS	Fus	FUS
HSPBAP1	Hspbap1	HSPBAP1
CORO1B	Coro1b	CORO1B
RBM15B	Rbm15b	RBM15B
BRPF3	Brpf3	BRPF3
UPK1B	Upk1b	UPK1B
LOXL4	Loxl4	LOXL4
LCMT2	Lcmt2	LCMT2
EPB42	Epb42	EPB42
PYROXD2	Pyroxd2	PYROXD2
RFC2	Rfc2	RFC2
UBE2E1	Ube2e1	UBE2E1
HPS1	Hps1	HPS1
UNC80	Unc80	UNC80
STX5	Stx5a	STX5
TRAT1	Trat1	TRAT1
GLDN	Gldn	GLDN
HELQ	Helq	HELQ
SORCS3	Sorcs3	SORCS3
EIF1B	Eif1b	EIF1B
MCMBP	Mcmbp	MCMBP
KLF9	Klf9	KLF9
PUM3	Pum3	PUM3
PDIA2	Pdia2	PDIA2
NOL11	Nol11	NOL11
DYRK2	Dyrk2	DYRK2
CLIP2	Clip2	CLIP2
WASHC4	Washc4	WASHC4
SEC23IP	Sec23ip	SEC23IP
TUB	Tub	TUB
FTMT	Ftmt	FTL
ACP3	Acpp	ACP3
ABRAXAS1	Abraxas1	FAM175A
NSG2	Nsg2	HMP19
RAPGEF1	Rapgef1	RAPGEF1
CARD11	Card11	CARD11
CH25H	Ch25h	CH25H
LIPA	Lipa	LIPA
WDFY1	Wdfy1	WDFY1
SEMA3F	Sema3f	SEMA3F
WIPI1	Wipi1	WIPI1
SRPRA	Srpr	SRPRA
ANXA10	Anxa10	ANXA10
RRN3	Rrn3	RRN3
NR3C1	Nr3c1	NR3C1
INHBA	Inhba	INHBA
C1QL2	C1ql2	C1QL2
PECR	Pecr	PECR
DDX60	Ddx60	DDX60
ALDH3A2	Aldh3a2	ALDH3A2
TCTN3	Tctn3	TCTN3
DCPS	Dcps	DCPS
EPHB6	Ephb6	EPHB6
KANSL2	Kansl2	KANSL2
CMTR1	Cmtr1	CMTR1
ARHGAP15	Arhgap15	ARHGAP15
ST3GAL4	St3gal4	ST3GAL4
C1orf210	2610528J11Rik	C1orf210
KDR	Kdr	KDR
GINS3	Gins3	GINS3
PARS2	Pars2	PARS2
CCDC167	Ccdc167	CCDC167
ZYG11A	Zyg11a	ZYG11A
ECPAS	Ecpas	ECPAS
MDGA1	Mdga1	MDGA1
CCN4	Ccn4	WISP1
SLC38A3	Slc38a3	SLC38A3
GTF2A1L	Gtf2a1l	GTF2A1L
ANK1	Ank1	ANK1
CAMK2G	Camk2g	CAMK2G
SLC25A42	Slc25a42	SLC25A42
SIRT5	Sirt5	SIRT5
BFSP2	Bfsp2	BFSP2
FOXM1	Foxm1	FOXM1
NFIA	Nfia	NFIA
ANTXR2	Antxr2	ANTXR2
IRX6	Irx6	IRX6
PHLDB2	Phldb2	PHLDB2
ROGDI	Rogdi	ROGDI
SCG3	Scg3	SCG3
ACADL	Acadl	ACADL
SPATS2	Spats2	SPATS2
FAM124B	Fam124b	FAM124B
LYSMD2	Lysmd2	LYSMD2
NDOR1	Ndor1	NDOR1
RYR3	Ryr3	RYR3
KDM8	Kdm8	KDM8
ITPRID2	Itprid2	ITPRID2
IQUB	Iqub	IQUB
TXNDC12	Txndc12	TXNDC12
SEPTIN12	Septin12	SEPTIN12
MRAS	Mras	MRAS
ALPL	Alpl	ALPL
LIFR	Lifr	LIFR
NDUFA5	Ndufa5	NDUFA5
DMRT2	Dmrt2	DMRT2
CGAS	Cgas	CGAS
FAM3D	Fam3d	FAM3D
OGDHL	Ogdhl	OGDHL
MIGA2	Miga2	MIGA2
SF3A3	Sf3a3	SF3A3
FBN2	Fbn2	FBN2
LYVE1	Lyve1	LYVE1
ULK2	Ulk2	ULK2
LMOD2	Lmod2	LMOD2
WASL	Wasl	WASL
CCKAR	Cckar	CCKAR
CTR9	Ctr9	CTR9
SGMS1	Sgms1	SGMS1
RNF7	Rnf7	RNF7
LGI2	Lgi2	LGI2
OSBPL11	Osbpl11	OSBPL11
PCOLCE	Pcolce	PCOLCE
PCSK9	Pcsk9	PCSK9
EIF4G2	Eif4g2	EIF4G2
MSL2	Msl2	MSL2
PI4K2B	Pi4k2b	PI4K2B
KCNC2	Kcnc2	KCNC2
PDIA5	Pdia5	PDIA5
PAPSS2	Papss2	PAPSS2
SEPSECS	Sepsecs	SEPSECS
TTI2	Tti2	TTI2
TTC4	Ttc4	TTC4
IL20RB	Il20rb	IL20RB
ZFC3H1	Zfc3h1	ZFC3H1
ATAD1	Atad1	ATAD1
KLF17	Klf17	KLF2
MRPS23	Mrps23	MRPS23
PDE7A	Pde7a	PDE7A
PLPP3	Plpp3	PLPP3
IARS1	Iars	IARS1
SLC35A5	Slc35a5	SLC35A5
CC2D2A	Cc2d2a	CC2D2A
AKT2	Akt2	AKT2
RSPO1	Rspo1	RSPO1
ARID5B	Arid5b	ARID5B
OPN5	Opn5	OPN5
ILDR1	Ildr1	ILDR1
ACTL6B	Actl6b	ACTL6B
MSS51	Mss51	MSS51
NCKAP1	Nckap1	NCKAP1
SNIP1	Snip1	SNIP1
PPP3CB	Ppp3cb	PPP3CB
RMI2	Rmi2	RMI2
SNORD97	Gm23262	SNORD97
ESYT3	Esyt3	ESYT3
CPT2	Cpt2	CPT2
AHI1	Ahi1	AHI1
SLC7A2	Slc7a2	SLC7A2
EIF3F	Eif3f	EIF3F
SEC31B	Sec31b	SEC31B
SNN	Snn	SNN
KCNA4	Kcna4	KCNA4
ATMIN	Atmin	ATMIN
FSHB	Fshb	FSHB
DPP10	Dpp10	DPP10
GCSH	Gcsh	GCSH
HK3	Hk3	HK3
NBN	Nbn	NBN
TNS2	Tns2	TNS2
TRPT1	Trpt1	TRPT1
CLGN	Clgn	CLGN
TUT4	Tut4	TUT4
MRPL22	Mrpl22	MRPL22
MGAT4D	Mgat4d	MGAT4D
NDUFB8	Ndufb8	NDUFB8
POGLUT3	Poglut3	POGLUT3
ELMOD2	Elmod2	ELMOD2
PIKFYVE	Pikfyve	PIKFYVE
HIF1AN	Hif1an	HIF1AN
ATP6V1A	Atp6v1a	ATP6V1A
PAX2	Pax2	PAX2
CYFIP2	Cyfip2	CYFIP2
CASP6	Casp6	CASP6
BCO1	Bco1	BCO1
CTSC	Ctsc	CTSC
CHRNA6	Chrna6	CHRNA6
PLA2G12A	Pla2g12a	PLA2G12A
HACD2	Hacd2	HACD2
RAVER2	Raver2	RAVER2
PROK2	Prok2	PROK2
STMN2	Stmn2	STMN2
GAR1	Gar1	GAR1
TACSTD2	Tacstd2	TACSTD2
FSTL1	Fstl1	FSTL1
SLF2	Slf2	SLF2
PDPR	Pdpr	PDPR
SLC31A1	Slc31a1	SLC31A1
RRH	Rrh	RRH
CDC26	Cdc26	CDC26
VWC2L	Vwc2l	VWC2L
PRPF4	Prpf4	PRPF4
APPL1	Appl1	APPL1
DUSP8	Dusp8	DUSP8
LRIT3	Lrit3	LRIT3
NEIL2	Neil2	NEIL2
PDCD5	Pdcd5	PDCD5
EPB41L5	Epb41l5	EPB41L5
IFITM10	Ifitm10	IFITM10
ADAL	Adal	ADAL
SEMA4G	Sema4g	SEMA4G
MTTP	Mttp	MTTP
JPH1	Jph1	JPH1
CTSD	Gm49369	CTSD
SMAD1	Smad1	SMAD1
MIR7-3	Mir7-2	gga-mir-7-2
WDR31	Wdr31	WDR31
FBXL22	Fbxl22	FBXL22
CDKN2C	Cdkn2c	CDKN2C
PIAS1	Pias1	PIAS1
USF3	Usf3	USF3
DDX19B	Ddx19b	RP11-529K1.3
SOX14	Sox14	SOX14
FGL1	Fgl1	FGL1
CAPZB	Capzb	CAPZB
BSPRY	Bspry	BSPRY
A4GNT	A4gnt	A4GNT
MMAA	Mmaa	MMAA
ALAD	Alad	ALAD
PAK4	Pak4	PAK4
COMMD2	Commd2	COMMD2
TWNK	Twnk	C10orf2
CFI	Cfi	CFI
TMEM169	Tmem169	TMEM169
RAD52	Rad52	RAD52
EPHA5	Epha5	EPHA5
NECTIN3	Nectin3	NECTIN3
PARP16	Parp16	PARP16
ASAH1	Asah1	ASAH1
LZTS2	Lzts2	LZTS2
VPS39	Vps39	VPS39
SESTD1	Sestd1	SESTD1
PLCXD2	Plcxd2	PLCXD2
DCTD	Dctd	DCTD
PRICKLE2	Prickle2	PRICKLE2
ZSWIM5	Zswim5	ZSWIM5
KAZALD1	Kazald1	KAZALD1
GYPC	Gypc	GYPC
OMA1	Oma1	OMA1
ALDH7A1	Aldh7a1	ALDH7A1
TTC29	Ttc29	TTC29
ZIC1	Zic1	ZIC1
PAF1	Paf1	PAF1
WAC	Wac	WAC
FOCAD	Focad	FOCAD
SLC35D1	Slc35d1	SLC35D1
RUVBL1	Ruvbl1	RUVBL1
GAL3ST2	Gal3st2b	GAL3ST2
LPCAT3	Lpcat3	LPCAT3
ITGB6	Itgb6	ITGB6
RPL34	Rpl34	RPL34
LRP8	Lrp8	LRP8
ABHD18	Abhd18	ABHD18
BMP2K	Bmp2k	BMP2K
SUCNR1	Sucnr1	SUCNR1
NDUFB4	Ndufb4	NDUFB4
C1R	C1rb	C1R
CEP70	Cep70	CEP70
SCOC	Scoc	SCOC
RAC1	Rac1	RAC1
HACD4	Hacd4	HACD4
STIM2	Stim2	STIM2
RPS16	Rps16	RPS16
ST3GAL2	St3gal2	ST3GAL2
DAGLB	Daglb	DAGLB
SEC16A	Sec16a	SEC16A
SYNE2	Syne2	SYNE2
SPI1	Spi1	SPI1
AKIRIN2	Akirin2	AKIRIN2
SPACA1	Spaca1	SPACA1
SLC39A13	Slc39a13	SLC39A13
MYL1	Myl1	MYL1
PEX5	Pex5	PEX5
KDELR2	Kdelr2	KDELR2
ORC3	Orc3	ORC3
ANAPC1	Anapc1	ANAPC1
SLC4A2	Slc4a2	SLC4A2
RFX3	Rfx3	RFX3
NKX2-5	Nkx2-5	NKX2-5
RAPSN	Rapsn	RAPSN
BAMBI	Bambi	BAMBI
ADRA1B	Adra1b	ADRA1B
HYPK	Hypk	HYPK
RNF111	Rnf111	RNF111
ZNF346	Zfp346	ZNF346
NDUFS3	Ndufs3	NDUFS3
EIF4E	Eif4e	EIF4E
Vault	Vaultrc-ps1	Vault
ADAM8	Adam8	ADAM8
PPM1L	Ppm1l	PPM1L
SF3B3	Sf3b3	SF3B3
TMEM97	Tmem97	TMEM97
KIAA0319	D130043K22Rik	KIAA0319
ARHGAP31	Arhgap31	ARHGAP31
PTPMT1	Ptpmt1	PTPMT1
PDCL3	Pdcl3	PDCL3
PTGER4	Ptger4	PTGER4
KANK1	Kank1	KANK1
KBTBD4	Kbtbd4	KBTBD4
SGPP2	Sgpp2	SGPP2
CP	Cp	CP
LAP3	Lap3	LAP3
TWIST2	Twist2	TWIST2
NLN	Nln	NLN
C1QTNF4	C1qtnf4	C1QTNF4
CRACDL	Cracdl	CRACDL
POLDIP2	Poldip2	POLDIP2
LRRC49	Lrrc49	LRRC49
ZNF511	Zfp511	ZNF511
NKX6-1	Nkx6-1	NKX6-1
C6orf62	BC005537	C6orf62
HNRNPDL	Hnrnpdl	HNRNPDL
TIMM50	Timm50	TIMM50
TANC1	Tanc1	TANC1
TMEM199	Tmem199	TMEM199
GMNN	Gmnn	GMNN
AARS1	Aars	AARS
VTN	Vtn	VTN
STEAP3	Steap3	STEAP3
PGM2L1	Pgm2l1	PGM2L1
SLC36A1	Slc36a1	SLC36A1
CLDN18	Cldn18	CLDN18
MYO1C	Myo1c	MYO1C
LIPT2	Lipt2	LIPT2
DBR1	Dbr1	DBR1
KCNE3	Kcne3	KCNE3
CALU	Calu	CALU
SATB2	Satb2	SATB2
SPARCL1	Sparcl1	SPARCL1
FAM222A	Fam222a	FAM222A
DZIP1L	Dzip1l	DZIP1L
ERCC6	Ercc6	ERCC6
DRD1	Drd1	DRD1
MIRLET7I	Mirlet7i	MIRLET7I
CHAT	Chat	CHAT
TCEANC2	Tceanc2	TCEANC2
MAT2B	Mat2b	MAT2B
TMEFF2	Tmeff2	TMEFF2
LRRC42	Lrrc42	LRRC42
LRP2BP	Lrp2bp	LRP2BP
LRFN1	Lrfn1	LRFN1
UIMC1	Uimc1	UIMC1
KIF7	Kif7	KIF7
PLA2R1	Pla2r1	PLA2R1
KANK4	Kank4	KANK4
IRF5	Irf5	IRF5
C4orf46	4930579G24Rik	C4orf46
PLIN1	Plin1	PLIN1
ETFDH	Etfdh	ETFDH
SYNPO	Synpo	SYNPO
DNAJB4	Dnajb4	DNAJB4
SLC18A3	Slc18a3	SLC18A3
PEX11A	Pex11a	PEX11A
SIL1	Sil1	SIL1
USP1	Usp1	USP1
TTPA	Ttpa	TTPA
INPP5K	Inpp5k	INPP5K
PTGS1	Ptgs1	PTGS1
JMJD7	Jmjd7	JMJD7
YTHDF3	Ythdf3	YTHDF3
STAM2	Stam2	STAM2
NCOA4	Ncoa4	NCOA4
TIMM10	Timm10	TIMM10
TMEM170A	Tmem170	TMEM170A
CNOT6	Cnot6	CNOT6
AK5	Ak5	AK5
ABCA12	Abca12	ABCA12
GABARAPL2	Gabarapl2	GABARAPL2
PI15	Pi15	PI15
TERF2IP	Terf2ip	TERF2IP
UBLCP1	Ublcp1	UBLCP1
RILP	Rilp	RILP
SPATA6	Spata6	SPATA6
C3	C3	C3
PRPF8	Prpf8	PRPF8
SMO	Smo	SMO
IL17B	Il17b	IL17B
GDAP1	Gdap1	GDAP1
DRGX	Prrxl1	DRGX
PTER	Pter	PTER
GABRP	Gabrp	GABRP
PPID	Ppid	PPID
HMX2	Hmx2	HMX2
PARG	Parg	PARG
GLI3	Gli3	GLI3
NEFL	Nefl	NEFL
GIPC2	Gipc2	GIPC2
DAB2IP	Dab2ip	DAB2IP
GLTP	Gltp	GLTP
PKD2	Pkd2	PKD2
SCN2B	Scn2b	SCN2B
RPE65	Rpe65	RPE65
ANGPTL3	Angptl3	ANGPTL3
EIF3J	Eif3j2	EIF3J
PLCZ1	Plcz1	PLCZ1
GNG12	Gng12	GNG12
TIAL1	Tial1	TIAL1
ZDHHC4	Zdhhc4	ZDHHC4
AMBP	Ambp	AMBP
DNAJC6	Dnajc6	DNAJC6
RNF14	Rnf14	RNF14
INO80D	Ino80d	INO80D
AMFR	Amfr	AMFR
TLCD2	Tlcd2	TLCD2
KIF12	Kif12	KIF12
MIR22	Mir22	gga-mir-22
SERPINF2	Serpinf2	SERPINF2
PPP6R3	Ppp6r3	PPP6R3
FASTKD2	Fastkd2	FASTKD2
AFAP1	Afap1	AFAP1
LEPROT	Leprot	LEPROT
VSTM2A	Vstm2a	VSTM2A
NPR2	Npr2	NPR2
SLC16A9	Slc16a9	SLC16A9
OGFOD1	Ogfod1	OGFOD1
CAPZA3	Capza3	CAPZA3
NEURL1B	Neurl1b	NEURL1B
AADAC	Aadac	AADAC
TDRD9	Tdrd9	TDRD9
PIK3C2G	Pik3c2g	PIK3C2G
XRCC5	Xrcc5	XRCC5
SERPINF1	Serpinf1	SERPINF1
FAM107B	Fam107b	FAM107B
STING1	Sting1	TMEM173
PALS2	Pals2	PALS2
CACHD1	Cachd1	CACHD1
SCX	Scx	SCX
HSF1	Hsf1	HSF1
B3GALNT1	B3galnt1	B3GALNT1
CD276	Cd276	CD276
PTCH1	Ptch1	PTCH1
SMYD4	Smyd4	SMYD4
KARS1	Kars	KARS
DGKB	Dgkb	DGKB
EFCAB7	Efcab7	EFCAB7
SCG2	Scg2	SCG2
RPA1	Rpa1	RPA1
EBF1	Ebf1	EBF1
MCOLN2	Mcoln2	MCOLN2
EPYC	Epyc	EPYC
LUM	Lum	LUM
POU3F3	Pou3f3	POU3F3
CYTIP	Cytip	CYTIP
DCN	Dcn	DCN
ICE2	Ice2	ICE2
ST7	St7	ST7
ST6GALNAC5	St6galnac5	ST6GALNAC5
GAN	Gan	GAN
ATG4C	Atg4c	ATG4C
SOX9	Sox9	SOX9
RHBDF1	Rhbdf1	RHBDF1
TANK	Tank	TANK
SCRT1	Scrt1	SCRT1
NPRL3	Nprl3	NPRL3
CYP2U1	Cyp2u1	CYP2U1
COX6A1	Cox6a1	COX6A1
SLC39A8	Slc39a8	SLC39A8
TRIAP1	Triap1	TRIAP1
SPOP	Tdpoz4	SPOP
ADGRL4	Adgrl4	ADGRL4
BRF1	Brf1	BRF1
SFR1	Sfr1	SFR1
DYNLL1	Dynll1	DYL1
NPM3	Npm3	NPM3
MESP2	Mesp2	MESP1
ANPEP	Anpep	ANPEP
OGA	Oga	MGEA5
HBZ	Hba-x	HBZ
COQ5	Coq5	COQ5
NFKB1	Nfkb1	NFKB1
HBA2	Hba-a1	HBA1
POP5	Pop5	POP5
RBM7	Rbm7	RBM7
DDX28	Ddx28	DDX28
NFATC3	Nfatc3	NFATC3
CCDC61	Ccdc61	CCDC61
CCDC65	Ccdc65	CCDC65
PPIE	Ppie	PPIE
ARNTL	Arntl	ARNTL
CALCRL	Calcrl	CALCRL
FKBP11	Fkbp11	FKBP11
KCNIP2	Kcnip2	KCNIP2
BCHE	Bche	BCHE
FAM219A	Fam219a	FAM219A
RSPH6A	Rsph6a	RSPH6A
FAM193B	Fam193b	FAM193B
PDE1A	Pde1a	PDE1A
CLCA1	Clca1	CLCA1
WNK2	Wnk2	WNK2
MTF1	Mtf1	MTF1
DHH	Dhh	DHH
ARHGEF26	Arhgef26	ARHGEF26
MANBA	Manba	MANBA
TUBA1B	Tuba1b	TUBA1B
JAK1	Jak1	JAK1
SLC35B1	Slc35b1	SLC35B1
SFXN1	Sfxn1	SFXN1
SPSB4	Spsb4	SPSB4
ANKRD44	Ankrd44	ANKRD44
TM4SF1	Tm4sf1	TM4SF1
COPS7A	Cops7a	COPS7A
CADM1	Cadm1	CADM1
BARHL1	Barhl1	BARHL1
CCDC88C	Ccdc88c	CCDC88C
CCNG1	Ccng1	CCNG1
DDX31	Ddx31	DDX31
DUSP19	Dusp19	DUSP19
FAM117A	Fam117a	FAM117A
NYAP2	Nyap2	NYAP2
BOP1	Bop1	BOP1
SLC9A9	Slc9a9	SLC9A9
HNRNPA2B1	Hnrnpa2b1	HNRNPA2B1
ALDOB	Aldob	ALDOB
UBE2D3	Ube2d2a	UBE2D3
FBXL12	Fbxl12	FBXL12
SIAH2	Siah2	SIAH2
KAT7	Kat7	KAT7
PSMD14	Psmd14	PSMD14
CA9	Car9	CA9
EHD2	Ehd2	EHD2
FGF8	Fgf8	FGF8
SARDH	Sardh	SARDH
SH3BP4	Sh3bp4	SH3BP4
CHSY3	Chsy3	CHSY3
NOP53	Nop53	NOP53
FAM81B	Fam81b	FAM81B
GUCA1A	Guca1a	GUCA1A
GFRA1	Gfra1	GFRA1
SLC4A10	Slc4a10	SLC4A10
TTLL7	Ttll7	TTLL7
TUBB	Tubb5	TUBB
PPFIA1	Ppfia1	PPFIA1
OPRK1	Oprk1	OPRK1
FLOT1	Flot1	FLOT1
SOWAHA	Sowaha	SOWAHA
SLC45A4	Slc45a4	SLC45A4
CRX	Crx	OTX5
DLX3	Dlx3	DLX3
SNCG	Sncg	SNCG
LAG3	Lag3	LAG3
CEP131	Cep131	CEP131
RBP1	Rbp1	RBP1
GPR20	Gpr20	GPR20
CD4	Cd4	CD4
SNORD54	Gm24016	SNORD54
MOS	Mos	MOS
CIZ1	Ciz1	CIZ1
PLAG1	Plag1	PLAG1
GADD45A	Gadd45a	GADD45A
ESRP2	Esrp2	ESRP2
SHLD2	Shld2	SHLD2
SEPTIN8	Septin8	SEPTIN8
TNFSF10	Tnfsf10	TNFSF10
RAB18	Rab18	RAB18
TUBB2B	Tubb2b	TUBB2B
PLA2G15	Pla2g15	PLA2G15
PSMG4	Psmg4	PSMG4
GPR162	Gpr162	GPR162
NDRG1	Ndrg1	NDRG1
ZNHIT6	Znhit6	ZNHIT6
SLC22A23	Slc22a23	SLC22A23
TECTA	Tecta	TECTA
GPC1	Gpc1	GPC1
P3H3	P3h3	P3H3
KIAA1549L	D430041D05Rik	KIAA1549L
SNX19	Snx19	SNX19
ADGRA1	Adgra1	ADGRA1
ITM2C	Itm2c	ITM2C
NDUFAF8	Ndufaf8	NDUFAF8
GPAM	Gpam	GPAM
SLC38A10	Slc38a10	SLC38A10
PHC3	Phc3	PHC3
GNB3	Gnb3	GNB3
SLC7A6OS	Slc7a6os	SLC7A6OS
COL12A1	Col12a1	COL12A1
FAM168A	Fam168a	FAM168A
CPEB4	Cpeb4	CPEB4
SMPD3	Smpd3	SMPD3
TECTB	Tectb	TECTB
CYP2R1	Cyp2r1	CYP2R1
TLK1	Tlk1	TLK1
FAAP100	Faap100	FAAP100
CABP4	Cabp4	CABP4
USP38	Usp38	USP38
LRRC23	Lrrc23	LRRC23
ZEB1	Zeb1	ZEB1
NCAM1	Ncam1	NCAM1
TNFRSF13B	Tnfrsf13b	TNFRSF13B
MLYCD	Mlycd	MLYCD
PTGFR	Ptgfr	PTGFR
LMO4	Lmo4	LMO4
PXYLP1	Pxylp1	PXYLP1
PLD6	Pld6	PLD6
NDST1	Ndst1	NDST1
COG5	Cog5	COG5
PRPF38A	Prpf38a	PRPF38A
MBIP	Mbip	MBIP
SETD7	Setd7	SETD7
HSDL1	Hsdl1	HSDL1
SYDE2	Syde2	SYDE2
PIGK	Pigk	PIGK
COPS3	Cops3	COPS3
MGST2	Mgst2	MGST2
RNF130	Rnf130	RNF130
DNAAF1	Dnaaf1	DNAAF1
ENO2	Eno2	ENO2
WNT6	Wnt6	WNT6
ST6GALNAC3	St6galnac3	ST6GALNAC3
SLC35G2	Slc35g2	SLC35G2
SORCS2	Sorcs2	SORCS2
LXN	Lxn	LXN
KLF7	Klf7	KLF7
ABCB8	Abcb8	ABCB8
TUBGCP2	Tubgcp2	TUBGCP2
FNDC3B	Fndc3b	FNDC3B
AIMP1	Aimp1	AIMP1
USP24	Usp24	USP24
SLC38A8	Slc38a8	SLC38A8
SQSTM1	Sqstm1	SQSTM1
ZDHHC6	Zdhhc6	ZDHHC6
C12orf57	Grcc10	C1H12ORF57
NT5M	Nt5m	NT5M
GAPVD1	Gapvd1	GAPVD1
GPR55	Gpr55	GPR55
DOCK7	Dock7	DOCK7
MED9	Med9	MED9
PTPN6	Ptpn6	PTPN6
PCYOX1L	Pcyox1l	PCYOX1L
AASDH	Aasdh	AASDH
RASD1	Rasd1	RASD1
ITGB3	Itgb3	ITGB3
SLC39A10	Slc39a10	SLC39A10
TMEM30A	Tmem30a	TMEM30A
EIF4EBP2	Eif4ebp2	EIF4EBP2
INSYN2B	Insyn2b	INSYN2B
SPOCK1	Spock1	SPOCK1
EBF3	Ebf3	EBF3
RPL27	Rpl27	RPL27
IL4	Il4	IL4
BCAP29	Bcap29	BCAP29
POLR1B	Polr1b	POLR1B
GLRX3	Glrx3	GLRX3
SCUBE3	Scube3	SCUBE3
GRIA1	Gria1	GRIA1
ZNF76	Zfp523	ZNF76
RPL22L1	Rpl22l1	RPL22L1
SMIM19	Smim19	SMIM19
SPATA16	Spata16	SPATA16
STARD3NL	Stard3nl	STARD3NL
EMG1	Emg1	EMG1
TRPS1	Trps1	TRPS1
PPAT	Ppat	PPAT
ARMC8	Armc8	ARMC8
TMEM132E	Tmem132e	TMEM132E
TPI1	Tpi1	TPI1
NFIB	Nfib	NFIB
DEF6	Def6	DEF6
IFI35	Ifi35	IFI35
PPARD	Ppard	PPARD
EPGN	Epgn	EPGN
PPP3CC	Ppp3cc	PPP3CC
CPA5	Cpa5	CPA5
ACSL5	Acsl5	ACSL5
OVOL1	Ovol1	OVOL1
GBX2	Gbx2	GBX2
TMEM11	Tmem11	TMEM11
ATXN2	Atxn2	ATXN2
TFPI	Tfpi	TFPI
RPL10A	Rpl10a	RPL10A
HADH	Hadh	HADH
TEAD3	Tead3	TEAD3
MTHFS	Mthfs	MTHFS
NUDCD2	Nudcd2	NUDCD2
GPR39	Gpr39	GPR39
KCTD7	Kctd7	KCTD7
BOK	Bok	BOK
TENM2	Tenm2	TENM2
FNTA	Fnta	FNTA
CTLA4	Ctla4	CTLA4
TULP1	Tulp1	TULP1
BHLHA15	Bhlha15	BHLHA15
SMURF1	Smurf1	SMURF1
ZFAND6	Zfand6	ZFAND6
HGSNAT	Hgsnat	HGSNAT
LARS1	Lars	LARS1
RET	Ret	RET
SLC25A12	Slc25a12	SLC25A12
CCZ1B	Ccz1	CCZ1
RSPH3	Rsph3a	RSPH3
TAGAP	Tagap1	TAGAP
FAXC	Faxc	FAXC
COQ3	Coq3	COQ3
MMD2	Mmd2	MMD2
PNISR	Pnisr	PNISR
RAB5C	Rab5c	RAB5C
MTNR1B	Mtnr1b	MTNR1B
CSGALNACT2	Csgalnact2	CSGALNACT2
SYCN	Sycn	SYCN
SLC36A4	Slc36a4	SLC36A4
LPAR1	Lpar1	LPAR1
RASGEF1A	Rasgef1a	RASGEF1A
RAPGEF5	Rapgef5	RAPGEF5
USP45	Usp45	USP45
DLGAP2	Dlgap2	DLGAP2
CTNS	Ctns	CTNS
SVEP1	Svep1	SVEP1
COL13A1	Col13a1	COL13A1
FAT3	Fat3	FAT3
NUP54	Nup54	NUP54
IL6	Il6	IL6
POMK	Pomk	POMK
NTNG2	Ntng2	NTNG2
MMP1	Mmp1b	MMP1
HOXB13	Hoxb13	HOXB13
MPPED2	Mpped2	MPPED2
MUSK	Musk	MUSK
ATP1B3	Atp1b3	ATP1B3
BCL2A1	Bcl2a1b	BCL2A1
ACHE	Ache	ACHE
PHF20L1	Phf20l1	PHF20L1
NXPH3	Nxph3	NXPH3
SPG21	Spg21	SPG21
CDK12	Cdk12	CDK12
GFM1	Gfm1	GFM1
NUP214	Nup214	NUP214
AGAP1	Agap1	AGAP1
HYLS1	Hyls1	HYLS1
CCNC	Ccnc	CCNC
PUS3	Pus3	PUS3
NEGR1	Negr1	NEGR1
DDX25	Ddx25	DDX25
PNPO	Pnpo	PNPO
STBD1	Stbd1	STBD1
SCARB2	Scarb2	SCARB2
ENPP2	Enpp2	ENPP2
KYAT3	Kyat3	KYAT3
MTFMT	Mtfmt	MTFMT
ETNK1	Etnk1	ETNK1
GMPS	Gmps	GMPS
CYB5D2	Cyb5d2	CYB5D2
RASL12	Rasl12	RASL12
RPUSD4	Rpusd4	RPUSD4
SHISAL2A	Shisal2a	SHISAL2A
NAP1L1	Nap1l1	NAP1L1
PDCD7	Pdcd7	PDCD7
OSBPL6	Osbpl6	OSBPL6
WEE1	Wee1	WEE1
CLPX	Clpx	CLPX
EEFSEC	Eefsec	EEFSEC
ODF2L	Odf2l	ODF2L
TMEM132A	Tmem132a	TMEM132A
SLC2A2	Slc2a2	SLC2A2
GUF1	Guf1	GUF1
CILP	Cilp	CILP
GNPDA2	Gnpda2	GNPDA2
SLITRK3	Slitrk3	SLITRK3
LETM2	Letm2	LETM2
MTHFD2L	Mthfd2l	MTHFD2L
HNRNPAB	Hnrnpab	HNRNPAB
SLC25A36	Slc25a36	SLC25A36
RPLP1	Rplp1	RPLP1
MRPS34	Mrps34	MRPS34
CERCAM	Cercam	CERCAM
PTPRF	Ptprf	PTPRF
SPSB3	Spsb3	SPSB3
SLC43A2	Slc43a2	SLC43A2
SKIL	Skil	SKIL
LANCL1	Lancl1	LANCL1
ANK2	Ank2	ANK2
KIF23	Kif23	KIF23
P2RY1	P2ry1	P2RY1
RASGEF1C	Rasgef1c	RASGEF1C
FER1L6	Fer1l6	FER1L6
ART1	Art1	ART7B
SYPL1	Sypl	SYPL1
FXR1	Fxr1	FXR1
NUBP2	Nubp2	NUBP2
TCF24	Tcf24	TCF24
CSF3	Csf3	CSF3
PRUNE2	Prune2	PRUNE2
COPS5	Cops5	COPS5
NUP98	Nup98	NUP98
NAMPT	Nampt	NAMPTP1
THRA	Thra	THRA
